Tanggal,Judul,Konten,Link
2024-03-16 19:00:00,Fungsi Kantong Udara pada Burung,"KOMPAS.com– Burung memiliki sistem pernapasan yang unik karena memiliki organ yang disebut sebagaikantong udara. Apafungsi kantong udara pada burung?Fungsi kantong udara pada burungadalah:Menghasilkan aliran udara searahMemasok oksigen secara terus-menerus ke paru-paruMengurangi massa jenis tubuh.Baca juga:Sistem Pernafasan Pada BurungMenghasilkan aliran udara searahFungsi kantong udara pada burung adalah menghasilkan aliran udara searah. Hal ini sangat berbeda dengan manusia dan mamalia yang memiliki aliran udara dua arah.Dilansir dariBiology LibreTexts, ketika udara dihirup dan dikeluarkan aliran udara paru-paru burung bergerak dalam satu arah dan menciptakan sistem pertukaran arus silang.Hal tersebut membuat pertukaran oksigen dan karbon dioksida ada burung sangat efisien.Baca juga:Ciri-ciri paru-paru pada BurungMemasok oksigen secara terus-menerus ke paru-paruFungsikantong udara burungselanjutnya adalah memasok oksigen secara terus-menerus ke paru-paru.bio.libretexts.orgProses inhalasi dan ekshalasi pada sistem pernapasan burung.Udara yang dihirup melalui hidung burung akan masuk ke dalam trakeanya.Sebagian udara segar yang mengandung oksigen tersebut masuk ke paru-paru. Adapun, sebagiannya lagi mengisi kantong udara posterior yang berada di belakang paru-paru.Udara bekas dari paru-paru kemudian masuk ke dalam kantong udara anterior yang berada di depan paru-paru.Baca juga:Daftar Nama Alat Pernapasan pada HewanDilansir dariAsk Nature, pada pernapasan kedua udara bekas di kantong udara anterior mengalir keluar melalui trakea, sedangkan udara segar di kantong prosterior masuk ke paru-paru.Hal tersebut terus berlangsung, sehingga paru-paru mendpatkan suplai oksigen secara terus-menerus tanpa henti.Hal tersebut menambah efisiensi pernapasan burung. Sehingga, burung dapat tetap bernapas ketika terbang di udara yang oksigennya tipis.Baca juga:Bisakah Burung Terbang di Luar Angkasa?Mengurangi massa jenis tubuhDilansir dariAvian Biology, kantong udara berevolusi untuk meringankan struktur tulang.Udara yang masuk ke dalam kantong udara memiliki massa jenis yang rendah, sehingga total massa jenis tubuh burung berkurang.Berkurangnya massa jenis membantu burung untuk terbang lebih mudah.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/03/16/190000269/fungsi-kantong-udara-pada-burung
2024-03-30 20:00:00,Mengapa Sel-sel Jaringan Epitel Tersusun Rapat?,"KOMPAS.com–Jaringan epiteladalah salah satu jaringan utama tubuh. Jaringan epitel terdiri dari sel-sel epitelyang tersusun rapat dengan sedikit atau bahkan tidak sama sekali matriks (ruang) antarsel.Mengapa sel-sel yang membentukjaringan epiteltersusun secara rapat dan tidak ditemukan adanya ruang antarsel? Berikut adalah penjelasannya!Dilansir dariAsk a Biologist, sel-sel epiteltersusun rapat dengan tidak adanya ruang antarsel untuk membentuk penghalang atau pelindung bagi tubuh kita.Hal tersebut karena jaringan epitel berfungsi melindungi tubuh di mana semua zat yang masuk ke dalam tubuh pasti melalui jaringan epitel.Baca juga:Fungsi Jaringan Epitel pada HewanDilansir dariBiology LibreTexts, jaringan epitel merupakan garis perlindungan pertama bagi tubuh dari kerusakan fisik, kimia, dan biologis.Sehingga, sel-sel penyusun jaringan epitel harus tersusun rapat agar menciptakan lapisan pelindung yang kuat.Kerapatan sel-sel epitel membuatnya memiliki hanya sedikit atau tidak sama sekali ruang antar sel. Sehingga, dapat menghalau masuknya zat berbahaya melalui tubuh.Hal tersebut membuat jaringan epitel seperti segel tubuh yang kuat.Baca juga:Jenis Jaringan Epitel dan Fungsinya pada Tubuh ManusiaBeberapa sel epitel yang tersambung membentuk persimpangan ketat.Persimpangan ketat adakah struktur jaringan epitel yang sangat rapat dan kuat sehingga tidak bisa dilewati zat bahkan ion yang berukuran kecil sekalipun.Namun, beberapa sel epitel yang tersambung juga dapat membentuk persimpangan celah.Dilansir dariNature, persimpangan celah adalah sambungan pada jaringan epitel yang membentuk pori sempit antara sel-sel yang berdekatan.Persimpangan celah memberikan ruang yang dapat dilalui oleh molekul kecil dan ion untuk keperluan transfer zat dan persinyalan antar sel.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/03/30/200000269/mengapa-sel-sel-jaringan-epitel-tersusun-rapat-
2024-03-30 18:00:00,Pengelompokkan Alga Berdasarkan Pigmennya,"KOMPAS.com–Ganggangataualgadikelompokkan menjadi beberapa phylum berdasarkan pigmen dominan yang dikandungnya. Manakah pernyataan di bawah ini yang tepat …Rhodophytamengandung pigmen fikosantinPhaeophytamengandung pigmen xantofilChrysophytamengandung pigmen fikoeritrinRhodophyta mengandung pigmen fikoeritrinChlorophytamengandung pigmen karotenJawabannya adalah D. Rhodophyta mengandung pigmen fikoeritrin. Untuk lebih memahaminya, berikt adalahpengelompokkan alga berdasarkan pigmennya!Baca juga:Ganggang: Ciri-ciri, Jenis, dan ManfaatnyaMenurut Anil Kumar Patel, dkk dalamAlgae as Emerging Source of Bioactive Pigments(2022), alga menggunakan pigmen untuk memanen energi sinar matahari sebagai bahan baku fotosintesis.Pigmen alga berbeda-beda. Berdasarkan pigmen yang dikandungnya, alga dibagi menjadi:Phaeophyta (alga coklat)Rhodophyta (alga merah)Chrysophyta (alga emas)Bacillariophyta(diatom)Chlorophyta (alga hijau)Baca juga:Perbedaan Ganggang dan JamurPhaeophyta (alga coklat)Menurut Nur Akamal Sholehah Din, dkk dalamBrown Algae as Functional Food Source of Fucoxanthin: A Review(2022), fucoxantin adalah pigmen dominan pada Phaeophyta atau alga coklat dan mengalahkan keberadaan pigmen lainnya seperti klorofil a, klorofil c, beta karoten, dan xantofil.Rhodophyta (alga merah)Dilansir dariMicrobiology Notes, Rhodophyta disebut sebagai alga merahkarena mengandung pigmen merah berupa fikoeritin.Rhodophyta juga mengandung pigmen fikosianin, klorofil a, klorofil d, beta karoten, xantofil, dan fikobilin.Chrysophyta (alga emas)Chrysophyta atau alga emas adalah alga yang mengandung banyak pigmen karoten yang memberikan warna kuning kecoklatan hingga emas.Chrysophyta juga mengandung klorofil dan juga sejumlah xantofil.Baca juga:Jenis-jenis AlgaChlorophyta (alga hijau)Dilansir dariBiology LibreTexts, Chlorophyta mengandung klorofil a dan dan klorofil b sebagai pigmen fotosintetik.Clhlorophyta juga mengandung sejumlah pigmen kuning seperti beta karoten dan xantofil atau pigmen kekuningan seperti loroxantin dan astaxantin.Bacillariophyta (diatom)Bacillariophyta atau diatom adalah alga yang mengandung klorofil dan karotenoid yang digunakan untuk menangkap cahaya matahari.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/03/30/180000069/pengelompokkan-alga-berdasarkan-pigmennya
2024-04-08 20:00:00,Senyawa yang Diperlukan dalam Reaksi Glikolisis,"KOMPAS.com–Glikolisisadalah jalur metabolisme energi  yang mengubahglukosamenjadi piruvat. Ada beberapa senyawa yang diperlukan untuk melakukanglikolisis.Senyawa yang diperlukan dalam reaksi glikolisisadalah:GlukosaEnergi (ATP)Gugus fosfatEnzimBaca juga:Glikolisis: Pengertian dan TahapannyaGlukosaSenyawa utama yang diperlukan dalamreaksi glikolisisadalah glukosa.Menurut Raheel Chaundhry dan Matthew Varacallo dalamBiochemistry: Glycolysis(2023), glukosa adalah satu-satunya bahan bakar organik yang paling penting pada tumbuhan, mikroba, dan hewan.Satu molekul glukosa akan diubah menjadi dua molekul piruvat dan energi melalui proses glikolisis.Baca juga:Apa Fungsi Glukosa Hasil Fotosintesis bagi Tumbuhan?EnergiSenyawa yang diperlukan dalam reaksi glikolisis selanjutnya adalah energi dalam bentuk ATP.Menurut Erica A. Melkonian dan Mark P. Schury dalamBiochemistry: Anaerobic Glycolysis(2023), ATP diperlukan untuk mengubah glukosa menjadi glukosa-6-fosfat lalu menjadi fruktosa-1,6-bifosfat.Gugus fosfatReaksi glikoslisis juga memerlukangugus fosfat. Gugus fosfat diperlukan untuk ditambahkan ke dalam gula.Sehingga, glukosa dapat berubah menjadi molekul gula yang mengandung fosfat.Baca juga:Daftar Gugus Fungsi Senyawa KarbonEnzimDilansir dariKhan Academy,enzim fosfofruktokinaseadalah enzim yang paling penting dalam glikolisis dan berfungsi dalam pembentukan molekul gula dua fosfat yang tidak stabil, juga mempercepat dan memperlambat glikolisis sebagai respons terhadap kebutuhan sel.Selain enzim fosfofruktokinase, reaksi glikolisis juga memerlukan berbagai jenis enzim seperti:HeksokinaseIsomerase fosfoglukosaAldoase fruktosa-bifosfatTriosa fosfat isomeraseGliseraldehida 3-fosfat dehidrogenaseFosfogliseratkinaseMutase fosfogliseratEnolasePiruvat kinase.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/04/08/200000669/senyawa-yang-diperlukan-dalam-reaksi-glikolisis
2024-02-27 20:00:00,Perbedaan Usus Halus dan Usus Besar,"KOMPAS.com– Usus manusia dibagi menjadi dua bagian, yaituusus halusdanusus besar. Keduanya, memiliki perbedaan. Apaperbedaan usus halus dan usus besar? Berikut adalah penjelasannya!UkuranPerbedaan usus halus dan usus besaradalah ukurannya. Seperti namanya, usus halus memiliki diameter yang lebih kecil daripada usus besar.Dilansir dariMedicine LibreTexts, usus halus memiliki diameter sekitar 2,54 sentimeter, sedangkan usus besar memiliki diameter tiga kali lebih besar yaitu sekitar 7,62 sentimeter.Baca juga:Usus Halus: Pengertian, Gambar, Fungsi, Letak, dan PanjangnyaNamun, usus halus memiliki ukuran yang lebih panjang daripada usus besar.Usus halusmemiliki panjang sekitar 6 meter, sedangkan usus besar memiliki panjang sekitar 1,5 meter saja.Enzim pencernaanUsus halus mengeluarkan enzim pencernaan yang diproduksinya sendiri juga didapatkannya dari cairan pankreas.Adanya enzim pencernaan membuat usus halus dapat melakukan pencernaan kimiawi pada permukaan sel mukosanya.Dilansir dariNational Cancer Institute, berbeda dengan usus halus, usus besar tidak menghasilkan enzim pencernaan.Baca juga:Jenis-Jenis Enzim PencernaanFlora bakteriPerbedaan usus halus dan usus besar berikutnya adalah usus halus mengandung lebih sedikit flora bakteri daripada usus besar.Diperkirakan ada lebih dari 700 spesies bakteri yang hidup di dalam usus besar. Mereka adalah bakteri baik yang membantu pencernaan, sintetis vitamin, dan sistem imun tubuh.Dilansir dariLumen Learning, bakteri di usus besar melakukan fermentasi sakarolitik untuk memecah karbohidrat yang tersisa.Sehingga meskipun tidak memiliki enzim pencernaan, usus besar tetap dapat melakukan pencernaan kimiawi.Baca juga:Fungsi Usus Besar pada ManusiaFungsiPerbedaan usus halus dan usus halus selanjutnya ada pada fungsinya.Usus halus berfungsi untuk melakukan pencernaan dan menyerap sebagian besar nutrisi.Sedangkan, usus besar berfungsi menyerap sebagian besar air, elektrolit, dan membentuk feses.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/02/27/200000169/perbedaan-usus-halus-dan-usus-besar
2024-04-09 18:00:00,Apa yang Dimaksud dengan Mikoriza?,"KOMPAS.com– Jamur dan Tumbuhan adalah dua makhluk hidup yang berbeda. Namun, keduanya dapat saling berinteraksi di alam. Salah satu jenis interaksi tersebut adalahmikoriza. Apa yang dimaksud dengan mikoriza?Pengertian mikorizaMikorizaadalah hubungansimbiosisantara jamur dan tumbuhan. Di mana miselium jamur berhubungan dengan akar tumbuhan.Diperkirakan, sekitar 90 persen tumbuhan memiliki mikoriza pada akarnya.Baca juga:Bagian dan Fungsi Akar TumbuhanJenis mikorizaAda duajenis mikorizapada tumbuhan, yaitu ektomikoriza dan endomikoriza.Menurut Chew Jia Huey, dkk dalamMycorrhiza: a Natural Resource Assist Plant Growth under Varied Soil Condition(2020), ektomikoriza terjadi ketika hifa jamur tidak menembus sel individu di dalam akar tumbuhan.Sedangkan, endomikoriza terjadi ketika hifa jamur menembus dinding sel dan menginvaginasi membrane sel.Fungsi mikorizaMikoriza berfungsi memberikan manfaat bagi tumbuhan dan jamur yang melakukan simbiosis tersebut.Dilansir dariBiology LibreTexts, mikoriza memungkinkan jamur memiliki akses yang relatif konstan terhadap karbohidrat dalam tumbuhan.Baca juga:Apa Fungsi Glukosa Hasil Fotosintesis bagi Tumbuhan?Seperti yang kita ketahui, tumbuhan membentuk karbohidrat berupa glukosa dan sukrosa. Karbohidrat yang dibuat di daun akan diangkut ke jaringan akar.Jamur yang terhubung ke akar melalui mikoriza kemudian dapat mengambil karbohidrat tersebut sebagai sumber makanan.Adapun, jamur membantu meningkatkan penyerapan air dan nutrisi mineral pada tumbuhan.Jamur pada mikoriza membuat tumbuhan dapat menyerap mineral penting seperti ion fosfat bahkan dalam pH tanah basa yang cenderung miskin nutrisi.Menurut J. Dighton dalamEncyclopedia of Microbiology Third Edition(2009), mikoriza juga dapat membantu pertahanan patogen akar dan penggembalaan akar tumbuhan.Baca juga:Patogen: Jenis dan Cara MencegahnyaArtinya, keberadaan mikoriza dapat membantu melindungi akar dari berbagai patogen yang menyebabkan penyakit pada tumbuhan.Mikoriza juga membantu penggembalaan akar di mana akar lebih mudah menembus tanah dan berkembang dengan lebih subur.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/04/09/180000369/apa-yang-dimaksud-dengan-mikoriza-
2024-03-01 18:00:00,Vitamin D3: Pengertian dan Fungsinya,"KOMPAS.com–VitaminD terbagi menjadi dua bentuk, yaituvitaminD2 danvitamin D3. Apa yang dimaksud dengan vitamin D3 dan apafungsi vitamin D3? Untuk mengetahuinya, simaklah penjelasan berikut ini!Pengertian vitamin D3Vitamin D3adalah salah satu bentuk alami darivitamin D. Vitamin D3 larut dalam lemak (tidak larut dalam air) dan disebut juga sebagai kolekalsiferol.Dilansir dariMedicine LibreTexts, vitamin D3 bisa disebut juga sebagai hormon karena tempat sintetis dan aktivitasnya terjadi di lokasi yang berbeda.Baca juga:9 Jenis Kelenjar dalam Tubuh Manusia beserta Hormon yang DihasilkanSumber vitamin D3Vitamin D3 bisa didapatkan dari makanan dan juga disintetis secara alami dalam tubuh dengan bantuan sinar ultraviolet.Produksi vitamin D3 dengan bantuan sinar ultraviolet dilakukan oleh manusia dan hewan.Namun sebagaimana dilansir dariHarvard School of Public Health, hanya sedikit makanan yang secara alami mengandung vitamin D3.Misalnya, daging ikan berlemak dan minyak hati ikan.Baca juga:Macam-Macam Vitamin yang Larut dalam LemakFungsi vitamin D3Dilansir dariForbes Health, vitamin D3 berfungsi penting untuk penyerapan dan pemanfaatan kalsium dan fosfor, juga menjaga kekuatan dan kesehatan tulang.Vitamin D3 juga berfungsi:Menjaga keseimbangan kalsium dalam tulangMeningkatkan penyerapan kalsium di ususMeningkatkan jumlah osteoklasMembantu pembentukan tulangMembantu mengurangi peradanganMengurangi pertumbuhan sel kankerMengurangi terjadinya infeksi.Baca juga:Rakitis, Gangguan Sistem Rangka Akibat kekurangan Vitamin DDefisiensiAdapun, kekurangan vitamin D3 dapat menyebabkan berbagai kondisi seperti:RakhitisOsteomalasiaDiabetesOsteoporosisTulang menjadi tipis, rapuh, bahkan cacat.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/03/01/180000269/vitamin-d3--pengertian-dan-fungsinya
2024-02-29 18:00:00,Bagaimana Virus Ditemukan?,"KOMPAS.com–Virusadalah agen infeksi yang dapat menyerang manusia, hewan, tumbuhan, bahkan bakteri. Yang dikenal dalam ilmu biologi sebagai penemuvirusadalah Dmitri Ivanowsky dan Beijerinck.Untuk lebih memahaminya, berikut adalah sejarahbagaimana virus ditemukan!Adolf MeyerKeberadaan virus pertama kali dicurigai oleh Adolf Meyer pada tahu 1882.Pada saat itu, Meyer sedang mempelajari tanaman tembakau yang sakit. Penyakit tersebut disebut sebagai penyakit mozaik tembakau.Baca juga:Sifat Virus yang Mirip Makhluk HidupMenurut M. H. V. Van Regenmortel dalamEncyclopedia of Virology(2008), Mayer beranggapan bahwa penyakit ini menular dan dapat ditularkan ke tanaman tembakau yang sehat melalui inokulasi dengan tabung kaca kapiler yang berisi getah tanaman yang sakit.Namun, Meyer tidak dapat mengisolasi agen penyebab penyakit tersebut dan beranggapan bahwa penyakit itu disebabkan oleh bakteri.Dmitri IvanovskyDmitri Ivanovsky kemudian melakukan percobaan untuk menemukan apa yang menjadi penyebab penyakit mozaik tembakau.Baca juga:Bagaiamana Cara Virus Menginfeksi Bakteri?Dilansir dariBiology LibreTexts, Dmitri Ivanovsky menunjukkan bahwa penyakit ini dapat ditularkan bahkan setelah filter Chamberland-Pasteur menghilangkan semua bakteri yang hidup.Dmitri Ivanovsky beranggapan bahwa penyakit tersebut disebabkan racun dari bakteri atau bakteri yang berukuran sangat kecil.Pada saat itu, Dmitri Ivanovsky tidak sadar bahwa ia telah menemukan agen infeksi yang baru.Baca juga:Cara Mencegah dan Mengobati Infeksi VirusBeijerinckBeijerinck kemudian melakukan penelitian lebih lanjut terhadap penyebab penyakit mozaik tembakau yang diteliti oleh Adolf Meyer dan Dmitri Ivanovsky.Beijerinck mengulangi percobaan Dmitri Ivanovsky dan melakukan percobaan baru yang menguji cairan tumbuhan yang menularkan penyakit tersebut.Menurut Milton Zaitlin dalamThe Discovery of the Causal Agent of the Tobacco Mosaic Disease(1998) Beijerinck menemukan bahwa agen infeksi tersebut dapat menyebar sekitar 2 mm dalam 10 hari, dapat larut, dan bersifat stabil tanpa kehilangan kekuatan infeksi setelah berbagai percobaan.Baca juga:Ciri-ciri Virus sebagai Benda MatiHingga Beijerinck Menyimpulkan bahwa agen infeksi tersebut bukanlah bakteri atau mikroba lainnya.Beijerinck mengusulkan bahwa penyebab penyakit tersebut adalah agen infeksi baru yang bernama virus.Hal tersebut menjadi penemuan virus dan menjadi dasar berkembangnya ilmu virologi modern ini.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/02/29/180000069/bagaimana-virus-ditemukan-
2024-03-04 10:00:00,Mengapa Sporangium yang Tua Tampak Berwarna Gelap?,"KOMPAS.com-Sporangium adalahsporofit yang sudah matang. Pada waktu tertentu, sporangium akan membelah secara meiosis.Ketika masih muda, sebagian besar sporangium akan berwarna bening atau kekuningan. Namun, setelah tua atau matang, warnanya berubah menjadi kehitaman atau gelap.Mengapa sporangium yang tua tampak berwarna gelap?Alasan sporangium yang tua tampak gelapDilansir dari situsByjus,sporangium adalahkapsul atau kantong tertutup yang mengandung spora di dalamnya, dan diproduksi oleh jamur atau spesies lainnya.Agar jamur bisa berkembang biak atau bereproduksi, biasanya mereka menghasilkan juga melepaskan spora.Baca juga:Perbedaan Spora, Sporangium, Sorus, dan Indusium pada Tumbuhan PakuSpora yang sudah dewasa akan dilepaskan dan disebarkan lewat perantara hujan, percikan, angin, atau serangga.Supaya spora ini bisa berkembang dan matang, mereka harus dibungkus dalam satu sel khusus bernama sporangium.Dalam situsBiology Dictionary, sporangium adalah kantong yang dimiliki banyak tumbuhan dan jamur, sebagai tempat reproduksi, penyimpanan, dan produksi spora.Sesuai yang telah disebutkan di atas, sporangium yang masih muda akan berwarna bening atau kekuningan.Sedangkan sporangium yang sudah matang atau tua, warnanya berubah menjadi kehitaman atau gelap.Baca juga:Spora: Pengertian, jenis, fungsi, dan contoh tumbuhannyaDikutip dari situsUniversitas Negeri Yogyakarta (UNY), ternyataperubahan warna sporangiumsangat dipengaruhi oleh kandungan di dalamnya.Sporangium yang berwarna bening itu disebabkan oleh kandungan beta karoten di dalamnya.Sedangkansporangium tua berwarna gelap karenasenyawa karoten tersebut, mengalami polimerisasi (proses penyatuan secara kimiawi) yang diakibatkan oleh oksidasi.Jadi,mengapa sporangium yang tua tampak berwarna gelap? Karena kandungan karotennya mengalami polimerisasi akibat oksidasi.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/03/04/100000769/mengapa-sporangium-yang-tua-tampak-berwarna-gelap-
2024-02-29 20:00:00,Apakah Hati Manusia Bisa Tumbuh Lagi?,"KOMPAS.com– Transplantasi hati adalah proses donor hati dari seseorang ke orang lain. transplantasi hati dapat dilakukan oleh seseorang yang masih hidup. Yang menjadi pertanyaan apakah hati manusia bisa tumbuh lagi?Jawabannya adalah ya, hati manusia bisa tumbuh lagi setelah melakukan transplantasi hati. berikut adalah penjelasannya!Hati adalah organ tubuh manusia yang sebagian besar terbentuk darihepatosit.Baca juga:Organ Hati: Bagian dan FungsinyaDilansir dariMedicine LibreTexts,hepatosit adalah sel jaringan utama hati yang membentuk sekitar 70 hingga 80 persen massa sitoplasma hati.Hepatositadalah turunan sel hepatoblas yang mengandung banyak ribosom dan retikulum endoplasma.Sehingga, hepatosit berfungsi dalam penyimpanan protein, sintesis protein, garam empedu, fosfolipid, juga detoksifikasi.Selain itu,hepatosit hatimemiliki fungsi regenerasi. Di mana hepatosit akan merespon hilangnya jaringan hati karena transplantasi ataupun hal lainnya.Baca juga:Pankreas dan Hati Bukan Saluran Sistem Pencernaan Makanan, Ini Penjelasannya!Hepatosit kemudian menjadi aktif membelah dan menumbuhkan jaringan hati yang baru, mengganti jaringan lama yang telah hilang.Sehingga, hepatosit memberikan kemampuan hati untuk beregenerasi.Dilansir dariNational Institutes of Health, hati dapat tumbuh kembali ke ukuran normalnya bhakwan setelah 90 persen bagiannya telah diangkat atau hilang.Kemampuanregenerasi hatisangatlah unik karena tidak dimiliki oleh kebanyakan organ tubuh manusia lainnya.Baca juga:Fakta Unik Tentang Patah HatiMenurut Yachao Tao, dkk dalamLiver Regeneration: Analysis of the Main Relevant Signaling (2017), ketika rasio massa hati dan massa tubuh normal telah mencapai 2,5 persen, maka regenrasi hati akan berhenti.Sehingga, pertumbuhan kembali hati terjadi secara terkendali.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/02/29/200000269/apakah-hati-manusia-bisa-tumbuh-lagi-
