Tanggal,Judul,Konten,Link
2024-01-15 21:00:00,Sifat-sifat Udara,"KOMPAS.com–Udaraadalah hal yang selalu berada di sekitar kita setiap harinya dan menjaga agar kehidupan di bumi tetap berlangsung. Namun, tahukah kamu apa saja sifat-sifatudara?Sifat-sifat udaraadalah:Udara adalah campuran banyak gasUdara tidak berbau, berasa, dan berwarnaUdara memiliki massaUdara memiliki tekananUdara menempati ruang.Baca juga:Udara Termasuk Unsur, Senyawa, atau Campuran?Udara adalah campuran banyak gasSifat udara yang pertama adalahsifat kimiaudara di mana udara adalah campuran dari banyak gas.Dilansir dariNASA, udara merupakan campuran dari 78 persen gas nitrogen, 21 persen gas oksigen, uap air, karbon dioksida, argon, dan berbagai komponen gas lainnya.Udara tidak berbau, berasa, dan berwarnaSifat udara selanjutnya adalah sifat fisiknya di mana udara tidak memiliki bau, rasa, maupun warna.Sehingga, ketika kita menghirup udara kita tidak bisa mengecap rasanya dan mencium aromanya. Karen tidak memiliki warna, udara juga jadi tidak terlihat oleh mata.Baca juga:Unsur-unsur Pembentuk UdaraUdara memiliki massaMeskipun tidak terlihat, bukan berarti udara tidak ada. Seperti benda lainnya, air juga memiliki massa.Diperkirakan suatu udara berbentuk kubus dengan panjang sisi satu meter memiliki berat satu kilogram.Dilansir dariScience World,ada 480 kilometer udara yang terbentang di atmosfer, artinya, kepala kita menanggung sekitar 1.700 kilogram massa udara.Namun, massa udara yang besar tersebut tidak terasa karena tubuh kita memiliki udara dan cairan tubuh yang memberikan tekanan ke luar.Sehingga, massa udara tersebut dilawan oleh tekanan dalam tubuh, membuat tubuh kita tidak merasakannya.Baca juga:Mengapa Air Lebih Dingin daripada Udara?Udara memiliki tekananSifat udara selanjutnya adalah memiliki tekanan.Dilansir dariNational Air and Space Museum, udara memiliki berat sehingga molekul-molekulnya terus-menerus bertabrakan dengan benda-benda.Tabrakan tersebut membentuk tekanan. Udara selalu memberikan tekanan pada semua benda, termasuk pada manusia.Di mana udara memberikan tekanan ke dalam pada setiap inci tubuh manusia.Baca juga:Tekanan Udara: Pengertian, Faktor yang Memengaruhi, dan JenisnyaUdara menempati ruangSifat udara selanjutnya adalah udara menempati ruang.Sama seperti benda padat dan benda cair, udara menempati ruang. Bentuk udara mengikuti ruang tempatnya berada.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/01/15/210000669/sifat-sifat-udara
2024-01-02 22:30:00,Mengapa Cahaya Tidak Termasuk Zat? Ini Jawabannya ....,"KOMPAS.com- Setiap zat berada pada wujud padat, cair, atau gas.Dilansir dari bukuRingkasan dan Kumpulan Soal Fisika(2010) oleh Ruslan Tri Setiawan dan Cahyo Widodo, wujud gas bergantung terutama pada suhu.Jadi, setiap zat akan berubah wujud jika menerima kalor atau melepas kalor.Berikut pertanyaan mengenai zat:Baca juga:Jawaban dari Soal Cahaya Tampak Berikut yang FrekuensinyaPertanyaanCahaya tidak termasuk zatkarena cahaya ....A. Cahaya tidak menempati ruangB. Cahaya tidak terlihat dengan jelasC. Cahaya tidak memiliki rasaD. Cahaya hanya dapat dipantulkanJawab:Menurut buku100% Super Lengkap Gudang Super Soal Fisika(2014) oleh Idrus Abdul Kudus,cahaya tidak termasuk zatkarena cahaya tidak memiliki massa. Jawaban (C).Baca juga:Fotokasis Positif, Gerak Euglena Menuju CahayaPerubahan wujud bendaKita ambil contoh kasus perubahan wujud pada air.Pada suhu di bawah 100°C, dia berwujud padat atau es. Antara suhu 0°C sampai 100°C dia berwujud cair, dan di atas 100°C air berwujud gas.Ketika kita memberi kalor pada suatu zat padat, maka mula-mula kalor tersebut akan menaikkan suhu zat sampai batas tertentu.Saat batas itu tercapai, dan kalor masih mengalir ke dalam zat maka suhu tidak lagi bertambah. Yang terjadi kemudian adalah perubahan wujud zat, biasanya dari padat menjadi cair.Baca juga:Proses Perjalanan Cahaya pada Mata hingga Terbentuk Bayangan BendaSelain itu, perubahan wujud dapat juga terjadi jika kalor dilepaskan dari suatu zat.Ketika kita memasukkan air ke dalam freezer, lambat laun akan berubah menjadi es.Hal ini disebabkan karena sejumlah kalor diambil dari air, sehingga mengalami penurunan suhu sampai akhirnya berubah fase menjadi padat.Itulah penjelasan mengenai cahaya tidak termasuk ke dalam zat.Baca juga:Sensor Cahaya: Pengertian, Cara Kerja, dan JenisnyaSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/01/02/223000169/mengapa-cahaya-tidak-termasuk-zat-ini-jawabannya--
2024-03-22 07:00:00,Sudut Deklinasi: Pengertian dan Penyebabnya,"KOMPAS.com-Sudut deklinasi adalahsalah satu jenis sudut yang menunjukkan posisi sebenarnya pada kompas.Selain deklinasi, ada yang namanya sudut inklinasi. Dikutip dari bukuKonsep IPA Lanjut(2019) oleh Julianto dkk, berikut pengertian sudut inklinasi:""Sudut inklinasi adalah sudut yang dibentuk oleh magnet dengan posisi garis mendatar pada bidang atau permukaan Bumi.""Apa itu sudut deklinasi dan apa saja penyebabnya?Pengertian sudut deklinasiMenurut Titus Supomo dalam bukuIntisari Fisika untuk SMP(2008),pengertian dari sudut deklinasi adalahsudut yang terbentuk antara sumbu magnet utara dan selatan.Baca juga:Apa Itu Sudut Deklinasi?Pengertiansudut deklinasi adalahsudut yang dibentuk oleh Kutub Utara jarum kompas, dengan arah utara-selatan geografis.Hal ini sering kali disebut sebagai penyimpangan. Sebab, magnet dalam kompas, umumnya tidak memperlihatkan posisi utara-selatan secara tepat, melainkan agak menyimpang.Dilansir dari situsStasiun Geofisika Tangerang - BMKG, pengertian dari sudut deklinasi adalah sudut antara utara sebenarnya dan jarum kompas atau utara magnet.Berdasarkan penjelasan di atas, bisa disimpulkan bahwapengertian sudut deklinasiialah sudut yang memperlihatkan posisi utara sebenarnya dengan utara pada magnet atau kompas.Penyebab sudut deklinasiPenyebab sudut deklinasi ialah bentuk medan magnet Bumi yang cenderung kompleks. Sehingga kadang sulit menentukan arah utara-selatan yang tepat.Baca juga:Cara Membuat Magnet SementaraDalam situsNational Centers for Enviromental Information, dituliskan bahwa sudut deklinasi sebenarnya bisa bernilai positif dan negatif.Sudut deklinasi disebut positif, jika sudutnya berada di timur utara yang sebenarnya. Sementara akan bernilai negatif, apabila sudutnya berada di sebelah barat.Nilai sudut deklinasi dibutuhkan untuk menentukan arah utara yang sebenarnya, karena kompas akan mengarah ke utara magnet.Selain bentuk medan magnet Bumi yang cenderung kompleks,penyebab sudut deklinasilainnya adalah perbedaan arah medan magnet dengan magnet yang sebenarnya.Baca juga:3 Cara Membuat MagnetSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/03/22/070000269/sudut-deklinasi--pengertian-dan-penyebabnya
2024-02-02 19:28:00,"Jawaban dari Soal ""Dalam 2 Menit Terjadi 960 Getaran""","KOMPAS.com-Getaran merupakangerak bolak-balik secara teratur suatu benda melalui titik seimbang.Dilansir dariBuku IPA Terpadu(2021) oleh Rinawati, waktu yang diperlukan dalam satu kali getaran dinamakan periode atau periodik.Satuan periode dalam Satuan Internasional (SI) adalah sekon (s). Besarnya periode tidak dipengaruhi oleh amplitudo, jika amplitudo diperbesar periode getaran tetap.Baca juga:Contoh Soal Frekuensi, Periode dan Jumlah GetaranSecara matematis, periode getaran dirumuskan:Keterangan:T = Periode getaran (s)t = Waktu yang diperlukan (s)n = Jumlah getaranHubungan antara frekuensi dan periode getaran dinyatakan dengan:danKeterangan:f = frekuensi (Hz)Baca juga:Pengertian Getaran, Gelombang, dan Bunyi dalam FisikaBerikut contoh soal dan pembahasan mengenai periode:Contoh soal 1Dalam 2 menitterjadi 960 getaranpada suatu partikel.Tentukan periode getarandanfrekuensi getaran!Jawab:Diketahui:Waktu yang diperlukan (t) = 2 menit = 120 detikJumlah getaran (n) = 960Ditanyakan:Periode (T) = ....?Frekuensi (f) = ....?Pembahasan:= 0,125Kemudian, frekuensinya, yakni:Baca juga:Cara Mencari Amplitudo, Frekuensi, dan Periode pada GetaranContoh soal 2Sebuah bandul berayun 120 ayunan setiap menit berapa frekuensi ayunan bandul itu?",http://www.kompas.com/skola/read/2024/02/02/192810869/jawaban-dari-soal-dalam-2-menit-terjadi-960-getaran
2023-12-28 18:30:00,Cara Menentukan Massa dan Berat Udara dalam Ruang Tamu,"KOMPAS.com- Massa jenis suatu benda sering disebut kerapatan atau ciri khas suatu benda.Dilansir dari buku100% Super Lengkap Gudang Super Soal Fisika(2014) oleh Idrus Abdul Kudus, penggunaan konsep massa jenis dalam kehidupan sehari-hari di antaranya adalah:Kapal selamBalon gasAir minum dingin dalam esMenganalisis benda terapung, melayang, dan tenggelamDalam Sistem Satuan Internasional (SI), satuan massa jenis adalah kilogram per meter kubik (kg/m³), sedangkan dalam sistem cgs satuan massa jenis adalah gram per sentimeter (g/cm³).Baca juga:Contoh Mengurutkan Berat Benda dari Paling Berat, Jawaban Belajar dari Rumah TVRIBerikut contoh soal dan pembahasannya:Contoh soalTentukan massa dan berat udaradalam ruang tamu yang berukuran 5,0 m x 4,0 m,jika tinggi langit-langit 3,0 m!Jawab:Pertama, kita cari volume ruang tamu terlebih dulu.Volume ruang tamu adalah:V = p x l x t= (5,0 m)(4,0 m)(3,0 m)= 60 m³Baca juga:Jawaban Soal Mengukur Berat Benda Kelas 1-3 SD Belajar dari Rumah TVRI 5 Mei 2020Diketahui massa jenis udara adalahKemudian, kita dapat menghitung massa udara, yakni:= (1,29 kg/m³)(60 m³)= 77,4 kgSedangkan berat udara adalah:= (77,4 kg)(9,8 m/s²)= 758,52 NJadi, massa danberat udara dalam ruang tamuadalah 77,4 kg dan 758,52 N.Itulah penjelasan mengenai cara menghitung massa dan berat udara dalam ruang tamu.Baca juga:Cara Mencari Berat Benda di Bulan Menggunakan Rumus Gaya BeratSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2023/12/28/183000469/cara-menentukan-massa-dan-berat-udara-dalam-ruang-tamu
2024-04-03 15:43:00,"Jawaban dari Soal ""Tentukan Besarnya Induksi Magnet""","KOMPAS.com- Dalam kehidupan sehari-hari magnet banyak digunakan pada kompas, generator dan lain-lainnya.Dilansir dari bukuBelajar Fisika Asyik dan Menyenangkan(2022) oleh I Dewa Made Warnita, gejala kemagnetan merupakan suatu gejala di mana tertariknya benda-benda logam seperti besi.Dikutip dariBuku Ajar Kuliah Kompas Dan Sistem Kemudi(2023) oleh Marzuki,induksi magnet adalahfenomena di mana suatu benda dapat menjadi magnet karena dipengaruhi oleh medan magnet dari magnet lainnya.Baca juga:Menghitung Induksi Magnet di Pusat dan Ujung SolenoidaAda dua jenis induksi magnet, yaitu induksi magnet alami dan induksi magnet buatan.Adapun rumus induksi magnetik, yakni:Keterangan:= Konstanta permeabilitas magnetik =Wb/AmI = Kuat arus (A)r = jarak (m)Berikut contoh soal dan penjelasan mengenai induksi magnet:Contoh soalTentukan besarnya induksi magnetdisuatu titik yangberjarak 2 cm dari kawat luruspanjang yangberarus listrik 30 A?Baca juga:Cara Menghitung Induksi Magnet Pada Kawat Lurus dan SolenoidJawab:Diketahui:Jarak (r) = 2 cm =Kuat arus (I) = 30 AWb/AmDitanyakan:B = ...?Pembahasan:Jadi, besarnya induksi magnet di suatu titik dari kawat lurus tersebut adalah. Jawaban (D).Itulah penjelasan mengenaipengertian induksi magnet, rumus induksi magnetik, beserta contoh soalnya.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/04/03/154303569/jawaban-dari-soal-tentukan-besarnya-induksi-magnet
2024-01-30 13:20:00,"Jawaban dari Soal ""Cepat Rambat Bunyi di Udara pada Suhu 20 C""","KOMPAS.com- Bunyi adalah getaran yang melewati gendang telinga.Dilansir dari bukuIlmu Pengetahuan Alam(2023) oleh Evy Aldiyah, bunyi merupakan gelombang longitudinal yang dapat merambat melalui udara, zat cair, dan zat padat. Bunyi tidak dapat merambat dalam ruang hampa.Dalam bunyi, kita mengenal istilah Efek Doppler.Berdasarkan bukuPersiapan Ujian Nasional(2008) oleh Dian Surdijani, efek Doppler adalah peristiwa berubahnya frekuensi bunyi yang diterima pendengar, terdengar frekuensi sumber bunyi karena gerak relatif.Baca juga:Bagaimana Prinsip Efek Doppler Bekerja?Berikut rumus efek Doppler:Keterangan:v = cepat rambat di udara (m/s)= cepat rambat pendengar (m/s)= cepat rambat sumber bunyiContoh soal 1Berapakah Cepat Rambat Bunyi di Udara pada Suhu 20°C. Jika diketahui cepat rambat bunyi di udara pada suhu 0°C adalah 331 m/s,berapa suhunya jikadiketahui cepat rambat bunyi di udara pada suatu saat 346 m/s?Jawab:Pertama, kita cari terlebih dulu cepat rambat bunyi di udara pada suhu 20°C.Pada 0°C, maka= 331 m/sPada 20°C, makav = 331 + 0,6 . 20 = 343 m/sKemudian, kita mencari suhu saat cepat rambat di udara bernilai 346 m/s.Pada, maka t = 0°CPada v = 346 m/s, maka346 = 331 + 0,6 tt = 25°CBaca juga:Soal dan Pembahasan Efek DopplerContoh soal 2Perhatikan gambar!brainly.comgambar garputala",http://www.kompas.com/skola/read/2024/01/30/132051369/jawaban-dari-soal-cepat-rambat-bunyi-di-udara-pada-suhu-20-c
2024-02-16 20:30:00,"Jawaban dari Soal ""Air Terjun dari Ketinggian Tertentu""","KOMPAS.com- Setiap hari kita selalu menggunakan energi dan menemukan bermacam-macam bentuk energi yang tersimpan dalam suatu benda.Dilansir dari bukuTaktis Belajar Ilmu Pengetahuan Alam(2019) oleh Bob Foster dan Joko Sutrisno, energi adalah kemampuan untuk melakukan usaha (kerja) atau melakukan suatu perubahan.Dalam satuan internasional (SI), satuan energi adalah joule. Satu joule setara dengan satu Newton-meter (Nm).Baca juga:Cara Penulisan Dimensi dari Energi PotensialBerikut pertanyaan mengenai energi:PertanyaanAir terjun dari ketinggian tertentumempunyai energi ....Jawab:Air terjun dari ketinggian tertentu mempunyaienergi potensial gravitasi.Contoh perubahan energi potensial menjadi energi listrik yakni pada air terjun.Pada sumber listrik tenaga air, energi listrik yang dihasilkan berasal dariair terjun dari ketinggian tertentu.Air terjun memiliki energipotensial.Baca juga:Mengenal Energi Potensial di Sekitar KitaMenurut bukuEnergi dan Aplikasinya dalam Kehidupan Sehari-hari(2020) oleh Zuhaida, energi potensial gravitasi adalah energi yang dimiliki oleh suatu benda karena kedudukannya dari permukaan bumi.Contoh energi potensialgravitasi adalah air terjun yang mengalir dari kedudukan tinggi ke kedudukan rendah.Baca juga:Apa Saja yang Termasuk Energi Potensial?Selain itu, ada juga energi potensial elastis.Energi potensial elastis terjadi disebabkan oleh kecenderungan benda untuk tetap berada pada posisi semula.Contohnya, sebuah busur panah yang belum direntangkan, tidak memiliki energi potensial atau dapat dikatakan energi potensialnya nol.Setelah direntangkan atau disimpangkan, busur panah tersebut memiliki energi potensial elastis.Baca juga:Pengertian dan Cara Mengerjakan Soal Energi Potensial, Energi Kinetik, dan Energi Mekanik",http://www.kompas.com/skola/read/2024/02/16/203000869/jawaban-dari-soal-air-terjun-dari-ketinggian-tertentu-
2024-02-22 14:38:00,"Jawaban dari Soal ""Perubahan Energi Pada Bel Listrik""","KOMPAS.com-Energi adalahkemampuan untuk melakukan usaha (kerja) atau melakukan suatu perubahan.Dilansir dari bukuTaktis Belajar Ilmu Pengetahuan Alam(2019) oleh Bob Foster dan Joko Sutrisno, energi dapat diubah dari satu bentuk ke bentuk energi lainnya, misalnya energi surya menjadi energi listrik, energi listrik menjadi energi kalor, dan perubahan energi lainnya.Berikut pertanyaan mengenai perubahan energi:Baca juga:Contoh Perubahan Energi Listrik Menjadi Energi CahayaPertanyaanBagaimana perubahan energiyang terjadi pada bel listrik?Jawab:Dikutip dari bukuPanduan Belajar dan Evaluasi IPA(2012) oleh Neti Lim dan teman-teman,perubahan energi yang terjadi pada bel listrikyakni energi listrik menjadi energi bunyi.Energi hanya dapat diubah dari satu bentuk energi ke bentuk yang lain.Energi listrik dapat mengalami perubahan bentuk menjadi beberapa bentuk energi, misalnya:Perubahan energi listrik menjadi energi gerak, seperti kipas angin dan mesin cuciPerubahan energi listrik menjadi energi bunyi, misalnya pada bel listrikPerubahan energi listrik menjadi energi cahaya, contohnya lampu bohlamPerubahan energi listrik menjadi energi panas, misalnya pada setrikaBaca juga:Contoh Perubahan Energi Listrik menjadi Bentuk Energi LainnyaSeputar energi listrikBenda yang bermuatan listrik mempunyai gaya listrik sehingga dapat menarik benda ringan yang ada di dekatnya.Ada jenis benda yang dapat memiliki muatan listrik ketika digosok. Listrik yang dihasilkan dengan cara menggosok ke benda lain disebut listrik statis.Setiap alat listrik memerlukan energi listrik agar berfungsi.Energi listrik yang diperlukan tadi memiliki sifat yang mengalir terus menerus seperti aliran dan disebut sebagai arus listrik.Arus listrik mengalir dari kutub positif (tempat yang berpotensial tinggi) ke kutub negatif (tempat yang berpotensial rendah).Satuan arus listrik disebut ampere. Arus listrik dapat diukur dengan amperemeter.Itulah penjelasan mengenai perubahan energi.Baca juga:Perubahan Energi pada Tubuh ManusiaSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/02/22/143856869/jawaban-dari-soal-perubahan-energi-pada-bel-listrik
2023-12-28 22:40:00,Soal dan Pembahasan Fisika Materi Pemuaian Benda,"KOMPAS.com- Pemuaian adalah peristiwa perubahan dimensi atau ukuran suatu benda akibat perubahan suhu.Dilansir dari bukuRingkasan dan Kumpulan Soal Fisika(2009) oleh Ruslan Tri Setiawan, dijelaskan mengenai fenomena pemuaian.Ketika suhu bertambah, kecepatan getar meningkat, menyebabkan kebutuhan ruang antarpartikel bertambah pula. Inilah yang menyebabkan ukuran benda secara makro ikut bertambah.Dikutip buku100% Super Lengkap Gudang Super Soal Fisika(2014) oleh Idrus Abdul Kudus, terdapat tiga macam pemuaian pada zat yakni padat, cair, dan gas.Baca juga:Pengertian dan Rumus Pemuaian Panjang, Pemuaian Luas, dan Pemuaian Volume pada Zat PadatBerikut masing-masing rumus untuk pemuaian benda:Pemuaian zat padatBesarnya pemuaian panjang pada suatu zat padat dirumuskan sebagai berikut:Dengan:= panjang mula-mula (m)L = panjang akhir benda (m)Δt = perubahan suhu (°C)α = koefisien muai panjang (/°C)Pemuaian luasPertambahan luas pada suatu zat memenuhi persyaratan:Dengan β = 2 αDengan:A = luas akhir benda (m2)= luas mula-mula (m2)β = koefisien muai luas ('C)Baca juga:Manfaat dan Kerugian Pemuaian dalam Kehidupan Sehari-hariPemuaian volumePertambahan volume pada suatu benda memenuhi persamaan sebagai berikut:Dengan Y = 3 α = 3/2 βKeterangan:",http://www.kompas.com/skola/read/2023/12/28/224000069/soal-dan-pembahasan-fisika-materi-pemuaian-benda
2024-02-22 17:01:00,Pengertian dan Rumus dari Berat Jenis Pada Fisika,"KOMPAS.com- Dalam fisika, kita kenal istilahberat jenis, dan massa jenis.Namun, keduanya memiliki perbedaan makna.Baca juga:Cara Menentukan Massa dan Berat Udara dalam Ruang TamuBerat jenisDilansir dariBuku Fisika Terapan(2021)oleh Zikri Noer dan Indri Dayana,definisi berat jenisadalah perbandingan berat benda tersebut terhadap volume benda itu sendiri.Satuan Sistem Internasional untuk berat jenis adalah N/m³.Dikutip dari bukuKumpulan Rumus Terlengkap(2015) oleh Wahyu Untara, rumus mencari berat jenis, yakni:Keterangan:S = Berat jenis (N/m³)W = Berat benda (N)V = Volume benda (m³)Selain itu, ada jugarumus berat jenislain, yaitu:S = ρ x gKeterangan:ρ = massa jenis (kg/m³)g = percepatan gravitasi (m/s²)Baca juga:Mengapa Saat Menimba Air Awalnya Ringan Menjadi Makin Berat?Massa jenisDefinisi massa jenis adalah perbandingan antara massa benda dengan volume benda.Satuan internasional untuk berat jenis adalah kg/m³.Perbedaan berat jenis dan massa jenisSepintas dari definisi, penekanan pembedanya adalah berat dan massa. Mari kita pahami perbedaannya lebih lanjut:Massa jenis benda tetap. Dalam menghitung massa jenis ditekankan pada massa. Massa suatu benda tidak mungkin berubah di manapun benda tersebut berada.Berat jenis bisa berubah-ubah. Pada perhitungan berat jenis kita menekankan pada berat. Seperti yang kita ketahui berat benda bisa berubah, tergantung di mana letak benda tersebut berada. Sesuai dengan letak benda itu terhadap pusat bumi. Hal ini disebabkan adanya perbedaan besar gaya gravitasi bumi yang tergantung pada jarak pusat massa terhadap bumi. Sebagai contoh, berat benda di bumi pasti akan berbeda dengan berat benda di bulan. Karena gravitasi di dua tempat tersebut berbeda, di mana gravitasi di permukaan bumi adalah 9,8 m/s² sedangkan di bulan adalah 4,6 m/s².Itulah penjelasan mengenai pengertian dan rumus dari berat jenis.Baca juga:Pengertian Satuan Berat, Konversi, dan Contoh SoalSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/02/22/170112169/pengertian-dan-rumus-dari-berat-jenis-pada-fisika
