Tanggal,Judul,Konten,Link
2024-05-12 00:38:00,"Jawaban dari Soal ""Anton Punya Uang Rp 5.000,00""","KOMPAS.com- Salah satu metode menghitung dalam matematika adalah operasi penjumlahan.Dilansir dari bukuMatematika(2009) oleh Siti Rodiyah, dijelaskan mengenai pengertian operasi penjumlahan.Operasi penjumlahan pada bilangan bulat bersifat tertutup. Artinya, penjumlahan dua bilangan bulat selalu menghasilkan bilangan bulat.Dikutip dari bukuBahas Tuntas 1001 Soal Matematika SD(2006) oleh Rita Destiana, berikut contoh soal dan pembahasan mengenai operasi penjumlahan:Baca juga:Operasi Penjumlahan, Materi Belajar dari Rumah TVRI SD 1-3 11 JuniContoh soal 1Anton punya uang Rp 5.000,00. Kemudian dia membelitiga bolpoin yang masing-masing harganya Rp 1.200,00, kemudian membeli es buah Rp 700,00.Sisa uang Antonadalah ....A. 700B. 1.600C. 2.100D. 2.800Jawab:Harga 3 bolpoin = 3 x Rp 1.200 = Rp 3.600Harga es buah = Rp 700Penjumlahan dari harga 3 bolpoin dan es buah = Rp 3.600 + Rp 700 = Rp 4.300Maka,sisa uang Antonadalah Rp 5.000 - Rp 4.300 = Rp 700. Jawaban (A).Baca juga:Cara Mengerjakan Operasi Penjumlahan, Pengurangan, Perkalian, dan Pembagian pada Bilangan PecahanContoh soal 2Pak Tino adalah pedagang ayam yang sukses.Dia mempunyai 20 kandang ayam. Tiap kandang berisi 225 ekor ayam. Dalam 1 hari, 1 ekor ayam rata-rata menghabiskan 2 ons pakan ayam.Jika Pak Tino mempunyai stok 5 ton pakan ayam,berapa kg sisa pakan ayam dalam 2 hari?A. 1.600B. 3.200C. 4.200D. 4.800Jawab:Pak Tino punya 20 kandang ayam1 kandang ayam berisi 225 ekor ayamTotal ayam yang dimiliki pak Tino = 20 x 225 = 4500 ekor ayam.1 ekor ayam membutuhkan 2 ons pakan ayam, jadi 4.500 ekor ayam membutuhkan 9.000 ons pakan ayam per hari.9.000 ons = 900 kgJika pak Toni mempunyai stok 5 ton atau 5.000 kg, maka sisa pakan ayam milik pak Toni dalam 2 hari adalah 5.000 kg - (900 kg x 2) = 5.000 - 1.800 = 3.200 kg. Jawaban (B).Itulah penjelasan mengenai operasi penjumlahan beserta contoh soal dan pembahasannya.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/05/12/003834369/jawaban-dari-soal-anton-punya-uang-rp-500000
2024-05-12 21:00:00,5 Penemuan Al Khawarizmi,"KOMPAS.com- Muhammad bin MusaAl KhawarizmiatauAl Khawarizmi adalahilmuwan Islam yang memiliki pengaruh besar dalam perkembangan ilmu pengetahuan.Bidang ilmu yang dikembangkan oleh Al Khawarizmiantara lain matematika, astronomi, dan geografi.Al Khawarizmi adalah tokoh yang menyusun kitab Aljabar. Di Eropa, ia dikenal dengan Algorismus (nama Latin dari Al Khawarizmi).Beberapa orang juga menganggapnya sebagai sosok yang menemukan angka 0 dengan salah satu karya yang termasyhur berjudul ""Al Jabr wal Muqabalah"", yang sangat berpengaruh bagi peradaban dunia.Berikut beberapapenemuan Al Khawarizmi dalam bidang matematika, astronomi, dan geografi.Baca juga:Al Khawarizmi, Bapak Aljabar DuniaAl Khawarizmi penemu AljabarAl Khawarizmi terkenal sebagai tokoh matematika yang menemukan Aljabar.Kata Aljabar berasal darikarya Al KhawarizmiberjudulAl-Kitab al-Mukhtasar fi Hisab al-Jabr wal-Muqabalahyang dirilis pada tahun 820.Buku tersebut berisi tentang rangkuman perhitungan, penyelesaian, dan penyeimbangan, yang merupakan sebuah metode dasar dalam disiplin Aljabar.MelansirNational Geographic Indonesia, Aljabar merupakan kompilasi aturan, bersama dengan demonstrasi, untuk menemukan solusi persamaan linier dan kuadrat berdasarkan argumen geometris intuitif.Sedangkan Kamus Besar Bahasa Indonesia menartikan Aljabar sebagai cabang matematika yang menggunakan tanda-tanda dan huruf-huruf untuk menggambarkan atau mewakili angka-angka, misalnya a, b, c, sebagai pengganti bilangan yang diketahui dan x, y, z untuk bilangan yang tidak diketahui.Berdasarkan ilmu yang ditemukan oleh Al Khawarizmi tersebut, ia pun dijuluki sebagai Bapak Aljabar Dunia.Baca juga:Leopold von Ranke, Bapak Sejarah ModernMeski tidak sedikit yang mengira Al Khawarizmi sebagai penemu angka nol (0), tetapi pada kenyataannya tidak demikian.Orang yang pertama kali menemukan angka 0 adalah seorang ilmuwan India.Al Khawarizmi tidak menemukan angka 0, tetapi menjadi orang pertama yang menunjukkan kegunaannya pada rumus matematika Aljabar.Penemu AlgoritmaAl Khawarizmi adalah penemu algoritma. MengutipKompas.com, algoritma adalah sekumpulan instruksi terbatas yang dilakukan dalam urutan tertentu untuk melakukan tugas tertentu.",http://www.kompas.com/stori/read/2024/05/12/210000179/5-penemuan-al-khawarizmi
2024-05-12 00:15:00,5 Contoh Soal Operasi Hitung Campuran beserta Jawabannya,"KOMPAS.com- Operasi hitung pada bilangan bulat terdiri dari banyak cara.Misalnya, penjumlahan, pengurangan, perkalian, pembagian, dan perpangkatan.Dilansir dari bukuBahas Tuntas 1001 Soal Matematika SD(2007) oleh Rita Destiana, ada urutan pengerjaan hitung campuran, yakni:Jika dalam soal terdapat perkalian dan pembagian, maka kerjakan dari kiri ke kanan.Jika dalam soal terdapat perkalian, pembagian, penjumlahan, atau pengurangan, maka kerjakan perkalian atau pembagian dulu, baru lanjutkan penjumlahan atau pengurangan.Jika dalam soal terdapat tanda kurung, maka kerjakan yang ada di dalam tanda kurung terlebih dulu.Baca juga:Kumpulan Soal dan Jawaban Operasi Hitung Bilangan Bulat dan Bilangan CacahAgar lebih mudah memahamioperasi hitung campuran, simak contoh soal dan pembahasannya sebagai berikut:Contoh soal 1(10+8):6 x (20-5) = ....A. 25B. 35C. 40D. 45Jawab:=(10+8):6 x (20-5)=(18):6 x (15)=3 x 15= 45 .Jawaban (D)Baca juga:Cara Mengerjakan Simbol pada Persamaan Operasi HitungContoh soal 2500 x (-19)-7.000:25+400 = ....A. -9.380B. -260C. 260D. 9.380Jawab:=500 x (-19)-7.000:25+400=-9.500 - 280 + 400= -9.380. Jawaban (A)Baca juga:Cara Mengerjakan Operasi Hitung CampuranContoh soal 32.400-600:40+15 x (-25) = ....A. -1.500B. -330C. 2.010D. 3.400Jawab:=2.400-600:40+15 x (-25)=2.400-15+(-375)=2.010. Jawaban (C)Baca juga:Cara Menghitung Perubahan Suhu Kota Menggunakan Operasi Hitung Bilangan BulatContoh soal 43.000+1.500 : (-15)-100 x (-8) = ....A. 500B. 1.200C. 3.200D. 3.700",http://www.kompas.com/skola/read/2024/05/12/001523269/5-contoh-soal-operasi-hitung-campuran-beserta-jawabannya
2024-05-01 13:36:00,Rumus dan Contoh Soal Mencari Keliling Setengah Lingkaran,"KOMPAS.com- Suatu lingkaran adalah himpunan semua titik di bidang datar yang berjarak sama dari suatu titik tetap di bidang tersebut.Selain itu, suatu lingkaran merupakan tempat kedudukan titik-titik yang mempunyai jarak yang sama terhadap titik pusat lingkaran.Dikutip dari bukuMatematika Plus(2004) oleh Husein Tampomas, dalam bangun datar lingkaran kita dapat mencari luas dan kelilingnya.Keliling lingkaran adalah panjang garis lengkung yang ditentukan dari suatu titik pada lingkaran itu dan berputar hingga kembali ke titik tersebut.Baca juga:Rumus Luas dan Keliling Lingkaran, beserta Contoh SoalnyaDilansir dari bukuEnsiklopedia Pengukuran(2020) oleh Delik Iskandar, keliling lingkaran ditentukan dengan rumus berikut:Keliling = π x d atau Keliling = 2 π x rSementara,rumus keliling setengah lingkaran, yakni:Keliling = ½ x π x d atau Keliling = π x rAgar lebih memahami materi lingkaran, simak contoh soal dan penjelasannya sebagai berikut:Baca juga:Hubungan antara Keliling Lingkaran, Banyak Putaran, serta Jarak TempuhContoh soalDiameter ban mobil berukuran 50 cm. Hitunglah:Keliling ban tersebutPanjang lintasan yang dilalui mobil tersebut jika rodanya berputar 50 kaliJawab:Diketahui diameter ban mobil itu adalah 50 cm.a.) Keliling ban = π x d= 3,14 x 50 = 157 cmJadi, keliling ban mobil tersebut adalah 157 cm.Baca juga:Cara Menghitung Luas dan Keliling Lingkaran pada Soal Matematikab.) Jarak yang ditempuh dalam satu putaran penuh sama dengan panjang kelilingnya. Panjang lintasan yang dilalui mobil = 157 x 50 = 7.850 cm = 78,5 meter.Jadi, panjang lintasan yang dilalui mobil itu adalah 78,5 meter.Itulah penjelasan mengenai lingkaran beserta rumuskeliling setengah lingkaran.Baca juga:Soal dan Jawaban Diameter dan Keliling LingkaranSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/05/01/133608469/rumus-dan-contoh-soal-mencari-keliling-setengah-lingkaran
2024-04-22 12:00:00,Peninggalan Kerajaan Gupta,"KOMPAS.com- Kemaharajaan Gupta merupakan kerajaan di India yang berdiri pada tahun 320 hingga 570.Wilayah kekuasaanKerajaan Guptameliputi hampir seluruh bagian India Utara.Pada masa keemasannya, Kerajaan Gupta maju dalam bidang ilmu pengetahuan, matematika, astronomi, filsafat, serta agama.Kemajuan Kerajaan Gupta dapat dibuktikan dengan peninggalan-peninggalannya yang masih ada hingga kini.Lantas, apa sajapeninggalan Kerajaan Gupta?Berikut ini peninggalan dari Kerajaan Gupta dalam berbagai bidang.Baca juga:Kerajaan Gupta: Pendiri, Masa Kejayaan, Keruntuhan, dan PeninggalanBidang sastraKerajaan Gupta meninggalkan banyak warisan prosa, puisi, serta drama.Para penulis dan pujangga dari era kerajaan ini pun memengaruhi para penulis terkenal di masa berikutnya.Salah satunya Kalidasa, seorang penulis yang karyanya menginspirasi penulisan-penulisan generasi berikutnya.Selain Kalidasa, Purana merupakan penulis literatur keagamaan yang dianggap suci bagi tradisi agama Hindu dan Jain.Tulisan-tulisan Purana berisi tentang cerita para dewa, cerita rakyat, dan pengetahuan tradisional.Sayangnya, tidak sedikit tulisan Purana yang susah dideteksi karena biasa ditulis secara anonim. Tulisannya juga menggambarkan periode Gupta dalam seni dan arsitektur.Baca juga:Sejarah Singkat Kekaisaran Sur di IndiaBidang seni, patung, dan arsitekturAsitjainSalah satu Varaha Panel yang terdapat di Gua nomor lima pada kompleks Gua Batu Udaigiri di Madhya PradeshDalam bidang seni arsitektur, Kerajaan Gupta meninggalkan cukup banyak kuil dan pahatan batu dari abad ke-5 dan ke-6, yang masih eksis hingga kini.Ajanta dan Elephanta merupakan dua situs yang karya akan peninggalan seni dari periode Gupta.Selain itu, terdapat juga kompleks Gua Batu Udaigiri di Madhya Pradesh sebagai situs prasasti Kerajaan Gupta.",http://www.kompas.com/stori/read/2024/04/22/120000779/peninggalan-kerajaan-gupta
2024-05-11 12:00:00,Pengertian dan 5 Contoh Soal Materi Akar Perpangkatan,"KOMPAS.com- Selain bilangan pangkat, ada jugabilangan akardalam matematika.Dilansir dari bukuTabel dan Rumus Hafalan Matematika SD(2007) oleh Soemardi Raharjo, bilangan akar adalah hasil bagi suatu bilangan dengan bilangan lain yang hasilnya sama dengan bilangan pembaginya.Contoh:dibaca akar pangkat dua atau akar kuadrat dari 1, artinya= 1 karena 1 x 1 = 1.dibacaakar pangkat tiga, artinya= 1 karena 1 x 1 x 1 = 1Dikutip dari bukuBahas Tuntas 1001 Soal Matematika SD(2009) oleh Rita Destiana, berikut beberapa contoh soal mengenaiakar perpangkatanbeserta jawabannya:Baca juga:Cara Mudah Menyelesaikan Soal Bilangan Kubik dan Akar Pangkat TigaContoh soal 1Hasil dariA. 580B. 375C. 463D. 158Jawab:= 25+8+400+30 = 463. Jawaban (C)Contoh soal 2A. 11B. 32C. 41D. 50Baca juga:Soal-Soal Akar Pangkat TigaJawab:= 12+13-14 = 11. Jawaban (A).Contoh soal 3A. 70B. 65C. 40D. 35Jawab:= 15-5+25 = 35. Jawaban (D).Baca juga:Soal-Soal Akar Pangkat DuaContoh soal 4A. 56B. 42C. 34D. 21",http://www.kompas.com/skola/read/2024/05/11/120000969/pengertian-dan-5-contoh-soal-materi-akar-perpangkatan
2024-04-16 13:00:00,"Pengertian, Gambar, Sifat, Jaring-jaring, dan Rumus Tabung","KOMPAS.com- Dalam mempelajari bangun ruang, kita akan mengenal bentuk tabung.Dikutip dari bukuBe Smart Matematika(2008) oleh Slamet Riyadi,tabung adalahprisma tegak yang mempunyai alas berbentuk lingkaran.Selain itu, tabung merupakan bangun ruang yang dibatasi oleh dua sisi sejajar dan kongruen yang berbentuk lingkaran serta sebuah sisi lengkung.Baca juga:Rumus Luas Permukaan Tabung beserta Contoh SoalnyaGambarBerikut gambar bangun ruang tabung:canva.comgambar bangun ruang tabungBaca juga:Jawaban dari Soal Sebuah Tabung Mempunyai Jari-jari 10 CmSifat-sifatDilansir dari bukuKumpulan Soal Matematika SMP(2010) oleh Budi Suryatin, berikutsifat-sifat tabungyang perlu diketahui:Tinggi tabung merupakan jarak antara lingkaran alas dengan lingkaran tutupnyaMempunyai tiga jenis permukaanMemiliki 2 sisi berbentuk lingkaran (tutup dan alas) dan 1 sisi lengkung (selimut tabung)Memiliki 2 rusuk lengkungTidak memiliki titik sudutBaca juga:Berapa Banyak Sisi Berbentuk Lingkaran Pada Tabung?Jaring-jaring tabungBerikutgambar jaring-jaring tabung:canva.comgambar jaring-jaring tabungBaca juga:Jawaban dari Soal Sebuah Kaleng Berbentuk TabungRumus volume dan luas permukaanBerikut rumus volume dan luas permukan tabung:Volume tabung = luas alas x tinggiLuas permukaan tabung = 2 π r (r+t)Sementara, luas tabung tanpa tutup dan luas selimut tabung dirumuskan sebagai berikut:Luas tanpa tutup = π r² + 2 π rtLuas selimut tabung = 2 π rtItulah penjelasan mengenai pengertian, gambar, sifat, jaring-jaring, dan rumus tabung.Baca juga:Jawaban dari Soal Tentukan Panjang dari Unsur Tabung yang DitanyakanSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/04/16/130000669/pengertian-gambar-sifat-jaring-jaring-dan-rumus-tabung
2024-04-16 12:00:00,"Pengertian, Gambar, Unsur, Sifat, Jaring-jaring, dan Rumus Kerucut","KOMPAS.com- Salah satu bangun ruang yang perlu diketahui dalam matematika adalah kerucut.Dikutip dari bukuKumpulan Soal Matematika SMP(2010) oleh Budi Suryatin, kerucut adalah limas yang alasnya berbentuk lingkaran.Selain itu, kerucut merupakan bangun ruang yang terdiri atas sisi alas yang berbentuk lingkaran dan sisi lengkung yang selanjutnya disebut selimut kerucut.Baca juga:Rumus Volume dan Luas Permukaan KerucutGambar dan unsurBerikut gambar dan unsur-unsur dari kerucut:Buku Geometri Ruang Berbasis STEM (Science, Technology, Engineering, and Mathematics)gambar bangun ruang kerucutDari gambar, kita ketahui unsur-unsur kerucutsebagai berikut:Sisi alasnya berbentuk lingkaran berpusat pada titik AAC disebut tinggi dari kerucutJari-jari lingkaran alas yaitu r dan diameternya 2rSisi miring BC disebut apotema atau garis pelukisSelimut kerucut berupa bidang lengkungBaca juga:Gambar Jaring-Jaring Kubus, Balok, Tabung, Limas, Kerucut, dan PrismaSifatDikutip dari bukuGeometri Ruang Berbasis STEM (Science, Technology, Engineering, and Mathematics)(2022) oleh Megita Dwi Pamungkas, berikut sifat-sifat dari bangun ruang kerucut:Kerucut memiliki 1 sisi alas berbentuk lingkaran dan 1 sisi berbentuk bidang lengkung (selimut kerucut)Memiliki 1 rusuk lengkungTidak memiliki sudutMemiliki 1 titik puncakJaring-jaringBerikut gambar darijaring-jaring kerucut:Buku Geometri Ruang Berbasis STEM (Science, Technology, Engineering, and Mathematics)jaring-jaring kerucutBaca juga:Unsur-unsur Bangun Ruang KerucutRumus volume dan luas permukaanAdapun rumus volume dan luas permukaan kerucut, yakni:Volume kerucut = 1/3 x luas lingkaran x tinggiLuas permukaan kerucut = (π rs) + (π r²) atau π r (s+r)Itulah penjelasan mengenai pengertian, unsur, gambar, sifat, jaring-jaring, dan rumus dari bangun ruang kerucut.Baca juga:Sifat-sifat Bangun Ruang Kubus, Balok, Tabung, Prisma Segitiga, Limas, Kerucut, dan BolaSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/04/16/120000969/pengertian-gambar-unsur-sifat-jaring-jaring-dan-rumus-kerucut
2024-04-19 17:00:00,Mengenal Kelebihan dan Kekurangan Median atau Nilai Tengah,"KOMPAS.com- Pada ukuran pemusatan data, kita kenal istilah median atau nilai tengah.Dilansir dari bukuCerdas Belajar Matematika(2005) oleh Marthen Kanginan, median dari sekumpulan data yang telah diurutkan besarnya (disebut statistik terurut) adalah datum yang membagi statistik terurut menjadi dua bagian yang sama banyak.Sementara, menurut bukuPrinsip Statistik Untuk Teknik & Sains(2005) oleh Harinaldi, median menyatakan posisi tengah dari nilai data terjajar (data array).Secara geometris,median merupakannilai dari absis-x yang bertepatan dengan garis vertikal yang membagi daerah di bawah poligon menjadi dua daerah yang luasnya sama.Baca juga:Pengertian dan Rumus Median Data TunggalSederhananya, median merupakan ukuran nilai tengah yang berbeda dengan rata-rata (mean) karena media hanya menyatakan posisi tengah dari sederetan angka hasil pengamatan sedemikian rupa sehingga membagi dua sama banyak.Ini berarti bahwa 50 persen nilai terletak di bawah median dan 50 persen terletak di atas median.Berikut penjelasan mengenai kelebihan dan kekurangan dari median:Baca juga:Cara Mencari Median Pada Jumlah Data Genap atau GanjilKelebihanDikutip dari bukuBiostatistika(2001) oleh Eko Budiarto, ada empat poin kelebihan dari median, yakni:Median mempunyai beberapa keuntungan jika dibandingkan dengan mean, terutama bila data yang kita peroleh tidak simetris karena median paling stabil jika dibandingkan dengan mean. Oleh karena itu, dikatakan bahwa median merupakan nilai tengah yang paling sedikit dipengaruhi oleh nilai ekstrem dibandingkan dengan mean.Median sebagai nilai tengah mudah dipahami dan perhitungannya relatif lebih mudah dibandingkan dengan mean.Median dapat digunakan untuk menghitung data dalam bentuk distribusi frekuensi dengan kelas terbuka yang tidak dapat dilakukan dengan perhitungan mean.Median dapat digunakan untuk menghitung nilai tengah data kualitatif. Misalnya, intensitas jawaban tentang pendapat masyarakat terhadap program penggunaan oralit pada penderita diare, seperti sangat setuju, setuju, kurang setuju, tidak setuju, sangat tidak setuju, maka mediannya sama dengan (5+1)/2 = 3 berarti kurang setuju.Baca juga:Pengertian dan Rumus Mean, Median, Modus Pada Data BerkelompokKekuranganDi samping beberapa kelenihan yang telah disebutkan di atas, median sebagai nilai tengah juga mempunyai beberapa kekurangan, seperti:Perhitungan median relatif lebih rumit dibandingkan dengan mean, misalnya untuk mengetahui nilai di mana median berada maka data yang ada harus disusun lebih dulu terutama bila datanya cukup banyak.Median tidak memperhitungkan setiap nilai hasil pengamatan seperti meanNilai median gabungan dua kelompok tidak sama dengan jumlah nilai kelompok satu ditambah nilai kelompok duaItulah penjelasan mengenaipengertian medianbeserta kelebihan dan kekurangannya.Baca juga:Kumpulan Soal dan Jawaban Mencari Mean, Median, Modus pada Data Nilai MatematikaSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/04/19/170048869/mengenal-kelebihan-dan-kekurangan-median-atau-nilai-tengah
2024-05-11 15:50:00,"Jawaban dari Soal ""Fahri Membeli Sandal Seharga Rp 16.000""","KOMPAS.com- Saat kita melakukan aktivitas jual beli, tentu ada ilmu matematika di situ.Dilansir dari bukuMatematika(2009) oleh Siti Rodiyah, untuk menghitung untung, rugi, diskon atau potongan harga, Anda memerlukan matematika.Berikut pertanyaan mengenai diskon yang beredar di media sosial:Baca juga:Cara Menghitung Persentase Untung-Rugi pada Soal MatematikaContoh soal 1Fahri membeli sandal seharga Rp 16.000,00. Jika ia mendapat diskon 5%, maka ia harus membayar ....A. Rp 15.200,00B. Rp 14.800,00C. Rp 8.000,00D. Rp 800,00Jawab:Diketahui:Diskon = 5% x Rp 16.000=x Rp 16.000= Rp 800Jadi, yang harus dibayar oleh Fahmi sebesar Rp 16.000 - Rp 800 = Rp 15.200. Jawaban (A).Baca juga:Cara Mengerjakan Soal Untung, Rugi, Persentase Untung, dan Persentase RugiContoh soal 2Uang Ma'ruf Rp 48.000,00. Sebanyak% ditabung, sisanya dibelikan buku.Uang Ma'ruf yang dibelikan bukuadalah ....A. Rp 16.000B. Rp 24.000C. Rp 32.000D. Rp 36.000Jawab:Diketahui:Ditabung =% x Rp 48.000=% x Rp 48.000= Rp 16.000Sisanya = Rp 48.000 - Rp 16.000= Rp 24.000Jadi,uang Ma'ruf yang dibelikan bukuadalah Rp 24.000Itulah penjelasan mengenai berapa banyak uang yang Fahmi harus bayar untuk membeli sendal, dan banyaknya uang Ma'ruf.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2024/05/11/155057169/jawaban-dari-soal-fahri-membeli-sandal-seharga-rp-16000
